,Date,Quarter,NA_EQ,NA_Hurricane,NA_Winterstorm,NA_Windstorm,JP_EQ,JP_Hurricane,JP_Winterstorm,JP_Windstorm,EU_EQ,EU_Winterstorm,EU_Windstorm,AUS_EQ,AUS_Hurricane,LA_EQ,LA_Hurricane,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
21,2002-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
22,2002-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
23,2002-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
24,2002-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
25,2003-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
26,2003-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
27,2003-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
28,2003-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
29,2004-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
30,2004-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
31,2004-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
32,2004-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
33,2005-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
34,2005-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
35,2005-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
36,2005-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
37,2006-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
38,2006-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
39,2006-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
40,2006-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
41,2007-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
42,2007-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
43,2007-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
44,2007-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
45,2008-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
46,2008-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
47,2008-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
48,2008-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
49,2009-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
50,2009-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
51,2009-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
52,2009-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
53,2010-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
54,2010-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
55,2010-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
56,2010-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
57,2011-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
58,2011-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
59,2011-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
60,2011-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
61,2012-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
62,2012-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
63,2012-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
64,2012-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
65,2013-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
66,2013-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
67,2013-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
68,2013-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
69,2014-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
70,2014-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
71,2014-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
72,2014-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
73,2015-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
74,2015-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
75,2015-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
76,2015-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
77,2016-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
78,2016-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
79,2016-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
80,2016-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
81,2017-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
82,2017-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
83,2017-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
84,2017-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
85,2018-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
86,2018-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
87,2018-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
88,2018-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
89,2019-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
90,2019-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
91,2019-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
92,2019-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
93,2020-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
94,2020-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
95,2020-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
96,2020-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
